title,link,published
【アナリスト予想】ＳＣＲＥＥＮＨ、26年3月期経常予想。対前週1%下降。(アイフィス株予報) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxOTWZoU2syZXd4MzJqY2pRWC01QzdtZmxiQ0h3dDVjZFJTMFNDcWRjU0ZFV0dlX1g3LXQzVVhnUnZndlFfZk5GMU9wYTA4Tkx1Tmt3RDhid3BXaHQ1YzJMblhaR25iTnRRZFhJdFNjQXljNWcwbVY5LTN6RVptdUpEUkdyOXNOdTQ?oc=5,"Wed, 04 Jun 2025"
SCREEN（スクリーン）ホールディングス【7735】株価はどうなる？ 予想配当金247円に上方修正 4期連続の最高業績を見込む - ｄメニューニュース,https://news.google.com/rss/articles/CBMiekFVX3lxTFBlalRFeFF1SG9lSjBncjI5UXdxOWVPTkRPc2d4TzlXRF85aVRIajBSa1dJVjE2eXo4Qjg4aEJOVE9vem0yVEdTcnFqRkVJTUFheWZrbTBxbUE2Z0lFa01tbTlpZDRlMVlpQmM3djdUUlhfb1NiQmFIcGlR0gF_QVVfeXFMTm5QWnU0dTFkekNUYTZ0NFlQdEtKaVpON0tnOTNjYloweWtualhCWFJVbHFaYUs1am93NnRTXzk4eDl2REIzeERKc1RLR3YwdWc3UVcxQ1lwVjBhc0I3dVBaM2tyMFR2UTB2UExxV3pKdjZYZVpTMFVwNkZvVFZGTQ?oc=5,"Mon, 20 Jan 2025"
SCREEN（スクリーン）ホールディングス【7735】株価はどうなる？ 予想配当金247円に上方修正 4期連続の最高業績を見込む - Finasee,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1LeEt1SVhEX1g0Q1c2aThiUjBnV3hNcTRGWjRjX1R5OWsyY25ZT2lWaWpMeUN3dVhyc0FiYXNtNnN0amZvQ2sxMXhJWlFpdXE5ZGZ0QkpPQlByM0Zf?oc=5,"Mon, 20 Jan 2025"
SCREEN株価、年初来高値 モルガンMUFGが目標1万4500円に上げ - 日本経済新聞,https://news.google.com/rss/articles/CBMibEFVX3lxTE1hd2VSa0hVTU9XNTRZYWxtaWREaWFoM3JNdUFybVBPb19WTUZGdGc1SVpSUlRmQi14N0J3QXJRSlN1TFhkMTlfMk9Nb1BycHR5cmFoeTBHZFN6eFNhVG1vcXI2bUtEUG11VXNhMA?oc=5,"Fri, 04 Jul 2025"
"【アナリスト評価】ＳＣＲＥＥＮＨ、レーティング中立を据置き、目標株価11,800円に引下げ（日系大手証券）(アイフィス株予報) - Yahoo!ファイナンス",https://news.google.com/rss/articles/CBMihwFBVV95cUxNa3htcFpqX1VtTnV2T3RwVHphNGY4YkprWFkxRDlKeG4xenlmWmRQSzhIZEphVWdXU0owWmp5R2dFaVVGQko4UWFjUXUtNTVYc3J5OTBwWGFvb01HUmNpS1VyY1dzbVFzaWE4Z1BEMjFUWXdqWE4wQW9BaXltNWh5blVPOUV5Wjg?oc=5,"Thu, 22 May 2025"
SCREEN（スクリーン）ホールディングス【7735】株価はどうなる？ 予想配当金247円に上方修正 4期連続の最高業績を見込む - Finasee,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1zV013VzFfNWEtcUFuRUNwclE4X3c4R0xqUDFZc0ZCaEZrVHYtUktXSlgzUXg0M3VObzU4YTJVLVJka0ZuSFdWY0NhNVJXaEJqbUw0?oc=5,"Mon, 20 Jan 2025"
"【アナリスト評価】ＳＣＲＥＥＮＨ、レーティング中立を据置き、目標株価12,000円に引上げ（米系大手証券）(アイフィス株予報) - Yahoo!ファイナンス",https://news.google.com/rss/articles/CBMihwFBVV95cUxQT0pnU0JycXdKdnZiUnAxOVhndUd3OVNPeGR2MndCTUVGWFBfYTJORmwySEtwNnNIaV9vcUtBSW1CV0VIOTNKUFVscnh1UUU4NU83cERFN1FzUmtoQ085SXJUT0VOMWpJUS1sd0otNVAxaUdFbzhOSGtHNmt4WGVDQ1poMVlkeHc?oc=5,"Mon, 07 Jul 2025"
"【アナリスト評価】ＳＣＲＥＥＮＨ、レーティング強気を継続、目標株価14,500円に引上げ（米系大手証券）(アイフィス株予報) - Yahoo!ファイナンス",https://news.google.com/rss/articles/CBMihwFBVV95cUxQcTNvdnpleDdRRHZwcmJ3bHJNd09nRHpQcWNnSy1IRTJvd3hyZ1AwbWNSREVIall4elYtREpHMVZwdDBoZFZINDdaN1lBaHpYNTE3ZlhHQVZnRWh4S0FYWm9iVml3Z1BtZ2Iwc0xPUTFTcVhpVnBQOVVqcUphWkxkUlNEN3lyWEU?oc=5,"Fri, 04 Jul 2025"
【アナリスト予想】ＳＣＲＥＥＮＨ、25年3月期経常予想。対前週1.2%上昇。(アイフィス株予報) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPcDFfbERvOEFOajhhd1ZzcVFKVlpoNVZraFZQcnQ5bkpWTG1sMjBXa1ZnN0FObVotcW56UEt1TC1JcEUtVHlJcjlDTUdWdVVlcVRVa3MxWExJVmxxWVI3UEtIcFlENUlEMjVmb0g2VXEzRHdWWDZXb1pSWExNdmlPQ3l3QTJHUjA?oc=5,"Fri, 14 Feb 2025"
"【アナリスト評価】ＳＣＲＥＥＮＨ、レーティング強気を継続、目標株価13,800円に引上げ（米系大手証券）(アイフィス株予報) - Yahoo!ファイナンス",https://news.google.com/rss/articles/CBMihwFBVV95cUxNT0pnZzhOVkRvcFNlcHVNTk96c05FQ1dSYzVySDVKeDFhSXh3VEo3ZjJieXFYTDRRTTlOWFZKb0xqdTdTRnMtSmRsTjN2aEVIcjlCWXhzZ0dWOWlSWGZpWmVXb2lNQzY5UkNfTkFuVzlmQVQzZDh6RWdtbGdRTUo4dV9YWEhnRTg?oc=5,"Wed, 02 Jul 2025"
